SessionID,Track,Date,Lap,LapTime_ms,S1_ms,S2_ms,S3_ms,Notes
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,1,29986,10602,8960,10424,minor error
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,2,28633,10016,8667,9950,push lap
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,3,28497,9876,8507,10114,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,4,28069,9923,8519,9627,push lap
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,5,28221,9852,8422,9947,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,6,28376,9989,8575,9812,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,7,28345,9938,8442,9965,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,8,28803,10131,8599,10073,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,9,28947,10189,8596,10162,minor error
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,10,28538,9906,8637,9995,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,11,28416,9981,8568,9867,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,12,28845,10103,8574,10168,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,13,28304,9885,8481,9938,push lap
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,14,29230,10196,8693,10341,minor error
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,15,28588,10093,8526,9969,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,16,28893,10153,8579,10161,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,17,31691,11116,9515,11060,traffic/mistake
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,18,28960,10189,8692,10079,clean air
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,19,29346,10391,8695,10260,minor error
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,20,29183,10243,8732,10208,minor error
KJZ-2025-09-15-S07,Karting Jerez (Indoor),2025-09-15,21,28602,9966,8674,9962,clean air
